"O-DU","O-DU_ID","ilp_mincpu_NumRUs","ilp_mincpu_TotalLinkDistanceKM","ilp_mincpu_AggregatedLoadMHz","ilp_minlink_NumRUs","ilp_minlink_TotalLinkDistanceKM","ilp_minlink_AggregatedLoadMHz","ilp_minmaxsched_NumRUs","ilp_minmaxsched_TotalLinkDistanceKM","ilp_minmaxsched_AggregatedLoadMHz","ilp_minmemory_NumRUs","ilp_minmemory_TotalLinkDistanceKM","ilp_minmemory_AggregatedLoadMHz","ilp_minpower_NumRUs","ilp_minpower_TotalLinkDistanceKM","ilp_minpower_AggregatedLoadMHz"
690425589,1,4,"1.497233","400.000000",4,"1.440071","380.000000",4,"1.385154","400.000000",4,"1.497233","400.000000",4,"1.440071","380.000000"
690458215,2,4,"3.712835","400.000000",4,"3.017851","380.000000",3,"1.812840","280.000000",4,"3.712835","400.000000",4,"3.017851","380.000000"
690462000,3,4,"3.703662","400.000000",3,"1.551553","280.000000",3,"2.860443","270.000000",3,"1.937097","300.000000",4,"5.680454","380.000000"
690462042,4,3,"5.103445","150.000000",4,"3.126987","350.000000",3,"2.221707","250.000000",3,"10.266330","180.000000",3,"1.877477","260.000000"
690462190,5,4,"3.491579","380.000000",3,"1.265004","270.000000",3,"1.265004","270.000000",4,"2.649195","390.000000",4,"2.264853","370.000000"
690469608,6,4,"4.075453","380.000000",4,"3.717751","310.000000",3,"2.079394","270.000000",3,"2.898143","300.000000",4,"4.299123","380.000000"
690474296,7,3,"4.372678","260.000000",3,"1.668005","280.000000",3,"1.668005","280.000000",3,"10.394046","240.000000",4,"3.325554","380.000000"
690476779,8,3,"5.202927","190.000000",2,"0.927243","130.000000",4,"6.602386","280.000000",4,"9.819106","310.000000",3,"2.876259","260.000000"
690897570,9,4,"1.684409","400.000000",4,"1.276640","360.000000",4,"2.464942","400.000000",4,"1.613005","400.000000",3,"0.721173","260.000000"
692374507,10,4,"3.890925","400.000000",4,"3.301522","380.000000",4,"4.062832","400.000000",4,"3.890925","400.000000",4,"3.654382","380.000000"
692374558,11,4,"3.011322","400.000000",3,"1.737572","300.000000",4,"3.488373","400.000000",3,"2.018778","300.000000",4,"5.227340","380.000000"
692575006,12,4,"3.917626","380.000000",4,"2.415252","390.000000",4,"3.943535","400.000000",4,"3.282054","400.000000",4,"4.689696","380.000000"
1005347619,13,4,"3.297139","400.000000",4,"3.034767","390.000000",4,"3.297139","400.000000",3,"2.475355","300.000000",3,"4.571007","260.000000"
1005965029,14,4,"4.756633","380.000000",3,"2.682210","260.000000",3,"3.548133","270.000000",3,"3.170836","290.000000",3,"4.006597","260.000000"
1006009814,15,3,"7.303250","190.000000",3,"1.814088","180.000000",4,"3.398509","280.000000",3,"10.425785","180.000000",3,"3.245805","260.000000"
1013188060,16,3,"8.198877","190.000000",3,"2.507281","250.000000",3,"2.507281","250.000000",3,"8.003421","210.000000",3,"4.519576","260.000000"
1014295499,17,3,"3.678928","160.000000",2,"0.447043","90.000000",3,"3.678928","160.000000",2,"0.447043","90.000000",4,"4.774025","240.000000"
1014424140,18,3,"3.274393","240.000000",3,"1.302935","200.000000",4,"2.894692","250.000000",3,"9.817230","210.000000",3,"1.937260","260.000000"
1014454619,19,3,"7.220388","240.000000",3,"1.813217","230.000000",3,"1.813217","230.000000",3,"7.220388","240.000000",3,"7.517122","260.000000"
1014459661,20,3,"2.985548","260.000000",4,"2.938154","340.000000",3,"2.034070","260.000000",4,"5.994055","350.000000",3,"2.034070","260.000000"
1015805130,21,4,"4.470374","400.000000",4,"2.108104","350.000000",3,"1.439331","250.000000",3,"2.219475","300.000000",3,"1.334950","260.000000"
1015839620,22,3,"5.956249","240.000000",4,"2.895904","370.000000",3,"3.273188","250.000000",4,"5.316360","350.000000",4,"4.407026","380.000000"
1015930384,23,3,"2.754660","260.000000",4,"2.225862","370.000000",3,"1.464578","270.000000",4,"7.521637","360.000000",4,"3.711643","380.000000"
1016081836,24,4,"3.063350","400.000000",4,"2.408383","400.000000",4,"3.063350","400.000000",4,"3.063350","400.000000",3,"5.752282","260.000000"
1016081844,25,3,"4.172568","260.000000",4,"2.258733","340.000000",3,"2.467110","270.000000",4,"8.145517","360.000000",3,"1.158838","260.000000"
1016091564,26,4,"3.910982","400.000000",3,"1.857442","280.000000",3,"2.487975","270.000000",3,"2.785676","300.000000",3,"2.389802","260.000000"
1016154221,27,4,"3.649236","400.000000",4,"3.123199","390.000000",4,"3.908783","400.000000",4,"4.180087","400.000000",4,"4.075344","380.000000"
1016185607,28,3,"4.784323","240.000000",4,"2.079542","370.000000",3,"1.362142","270.000000",4,"7.762886","310.000000",3,"2.409487","260.000000"
1016192743,29,4,"2.187893","400.000000",4,"1.869189","400.000000",4,"2.221360","400.000000",4,"2.187893","400.000000",4,"2.773720","380.000000"
1016193065,30,3,"10.419560","130.000000",4,"4.044142","310.000000",4,"5.104053","280.000000",3,"16.872672","120.000000",4,"16.511674","180.000000"
1016267050,31,4,"1.874413","400.000000",4,"1.774981","400.000000",4,"1.710681","400.000000",4,"1.874413","400.000000",4,"5.834132","290.000000"
1016316507,32,3,"5.725244","190.000000",4,"1.678332","270.000000",4,"2.770008","250.000000",4,"6.100375","250.000000",3,"1.988082","260.000000"
1016581561,33,4,"1.213725","400.000000",4,"0.994099","400.000000",4,"0.994099","400.000000",4,"1.646544","400.000000",4,"5.837558","380.000000"
1016648135,34,3,"1.981712","280.000000",4,"1.283076","390.000000",4,"2.481957","400.000000",4,"1.283076","390.000000",4,"2.490882","380.000000"
1016874984,35,3,"8.187429","260.000000",3,"0.934551","260.000000",3,"0.934551","260.000000",3,"7.408100","270.000000",3,"0.934551","260.000000"
1016963669,36,3,"6.484410","190.000000",1,"0.000000","50.000000",4,"9.128151","280.000000",3,"11.693228","150.000000",3,"6.072947","250.000000"
1017043385,37,4,"2.350621","400.000000",4,"0.878179","350.000000",4,"1.860491","400.000000",4,"2.350621","400.000000",4,"2.339230","380.000000"
"TOTAL",,130,"157.565999","11450.000000",130,"74.398863","11450.000000",130,"103.698390","11450.000000",130,"193.944765","11450.000000",130,"141.701842","11450.000000"
