O-DU_ID,O-DU
1,690425589
2,690458215
3,690462000
4,690462042
5,690462190
6,690469608
7,690474296
8,690476779
9,690897570
10,692374507
11,692374558
12,692575006
13,1005347619
14,1005965029
15,1006009814
16,1013188060
17,1014295499
18,1014424140
19,1014454619
20,1014459661
21,1015805130
22,1015839620
23,1015930384
24,1016081836
25,1016081844
26,1016091564
27,1016154221
28,1016185607
29,1016192743
30,1016193065
31,1016267050
32,1016316507
33,1016581561
34,1016648135
35,1016874984
36,1016963669
37,1017043385
